SL NO.,Date,Year,Month,Month No.,Q-P1,S-P1,Price Per Product1,Q-P2,S-P2,Price Per Product2,Q-P3,S-P3,Price Per Product3,Q-P4,S-P4,Price Per Product4,Total Units Sold,Total Revenue,Quarter,Day Name,Rev/Unit,Top Product,Revenue Category,YoY Growth Flag
572,2011-12-15,2011,Dec,12,7302,23147.34,3.17,2015,12775.1,6.34,3257,17652.94,5.42,565,4028.45,7.13,13139,57603.83,Q4,Thursday,4.384186772,Product1,Medium,Growth Year
573,2011-12-16,2011,Dec,12,4047,12828.99,3.17,3523,22335.82,6.34,4391,23799.22,5.42,1556,11094.28,7.13,13517,70058.31,Q4,Friday,5.182977732,Product3,High,Growth Year
574,2011-12-17,2011,Dec,12,3427,10863.59,3.17,1016,6441.44,6.34,4341,23528.22,5.42,1488,10609.44,7.13,10272,51442.69,Q4,Saturday,5.008050039,Product3,Medium,Growth Year
575,2011-12-18,2011,Dec,12,6587,20880.79,3.17,2516,15951.44,6.34,5399,29262.58,5.42,1002,7144.26,7.13,15504,73239.07,Q4,Sunday,4.723882224,Product3,High,Growth Year
576,2011-12-19,2011,Dec,12,4594,14562.98,3.17,480,3043.2,6.34,4663,25273.46,5.42,387,2759.31,7.13,10124,45638.95,Q4,Monday,4.507995851,Product3,Medium,Growth Year
577,2011-12-20,2011,Dec,12,1122,3556.74,3.17,683,4330.22,6.34,5996,32498.32,5.42,1229,8762.77,7.13,9030,49148.05,Q4,Tuesday,5.442751938,Product3,Medium,Growth Year
578,2011-12-21,2011,Dec,12,2199,6970.83,3.17,1067,6764.78,6.34,3832,20769.44,5.42,1846,13161.98,7.13,8944,47667.03,Q4,Wednesday,5.329497987,Product3,Medium,Growth Year
579,2011-12-22,2011,Dec,12,1602,5078.34,3.17,3549,22500.66,6.34,2513,13620.46,5.42,1963,13996.19,7.13,9627,55195.65,Q4,Thursday,5.733421627,Product2,Medium,Growth Year
580,2011-12-23,2011,Dec,12,467,1480.39,3.17,1052,6669.68,6.34,3673,19907.66,5.42,1748,12463.24,7.13,6940,40520.97,Q4,Friday,5.838756484,Product3,Medium,Growth Year
581,2011-12-24,2011,Dec,12,7289,23106.13,3.17,2475,15691.5,6.34,5561,30140.62,5.42,1259,8976.67,7.13,16584,77914.92,Q4,Saturday,4.698198263,Product3,High,Growth Year
582,2011-12-25,2011,Dec,12,6624,20998.08,3.17,2497,15830.98,6.34,496,2688.32,5.42,589,4199.57,7.13,10206,43716.95,Q4,Sunday,4.28345581,Product1,Medium,Growth Year
583,2011-12-26,2011,Dec,12,6261,19847.37,3.17,3129,19837.86,6.34,3817,20688.14,5.42,439,3130.07,7.13,13646,63503.44,Q4,Monday,4.653630368,Product3,Medium,Growth Year
584,2011-12-27,2011,Dec,12,754,2390.18,3.17,1373,8704.82,6.34,4419,23950.98,5.42,513,3657.69,7.13,7059,38703.67,Q4,Tuesday,5.482882845,Product3,Low,Growth Year
585,2011-12-28,2011,Dec,12,3961,12556.37,3.17,1725,10936.5,6.34,1046,5669.32,5.42,1425,10160.25,7.13,8157,39322.44,Q4,Wednesday,4.820698786,Product1,Low,Growth Year
586,2011-12-29,2011,Dec,12,4534,14372.78,3.17,1081,6853.54,6.34,4677,25349.34,5.42,1229,8762.77,7.13,11521,55338.43,Q4,Thursday,4.80326621,Product3,Medium,Growth Year
587,2011-12-30,2011,Dec,12,5799,18382.83,3.17,2555,16198.7,6.34,2348,12726.16,5.42,1842,13133.46,7.13,12544,60441.15,Q4,Friday,4.818331473,Product1,Medium,Growth Year
588,2012-01-01,2012,Jan,1,4509,14293.53,3.17,2807,17796.38,6.34,4654,25224.68,5.42,1532,10923.16,7.13,13502,68237.75,Q1,Sunday,5.053899422,Product3,Medium,Growth Year
589,2012-01-02,2012,Jan,1,4812,15254.04,3.17,1085,6878.9,6.34,5234,28368.28,5.42,1706,12163.78,7.13,12837,62665,Q1,Monday,4.881592272,Product3,Medium,Growth Year
590,2012-01-03,2012,Jan,1,6273,19885.41,3.17,3917,24833.78,6.34,4132,22395.44,5.42,1284,9154.92,7.13,15606,76269.55,Q1,Tuesday,4.887194028,Product2,High,Growth Year
591,2012-01-04,2012,Jan,1,3508,11120.36,3.17,1432,9078.88,6.34,3428,18579.76,5.42,786,5604.18,7.13,9154,44383.18,Q1,Wednesday,4.848501202,Product3,Medium,Growth Year
592,2012-01-05,2012,Jan,1,2904,9205.68,3.17,2928,18563.52,6.34,5457,29576.94,5.42,1620,11550.6,7.13,12909,68896.74,Q1,Thursday,5.337108994,Product3,Medium,Growth Year
593,2012-01-06,2012,Jan,1,430,1363.1,3.17,3180,20161.2,6.34,2879,15604.18,5.42,900,6417,7.13,7389,43545.48,Q1,Friday,5.893284612,Product2,Medium,Growth Year
594,2012-01-07,2012,Jan,1,878,2783.26,3.17,3222,20427.48,6.34,4327,23452.34,5.42,857,6110.41,7.13,9284,52773.49,Q1,Saturday,5.684348341,Product3,Medium,Growth Year
595,2012-01-08,2012,Jan,1,4280,13567.6,3.17,3179,20154.86,6.34,5966,32335.72,5.42,836,5960.68,7.13,14261,72018.86,Q1,Sunday,5.050056798,Product3,High,Growth Year
596,2012-01-09,2012,Jan,1,6105,19352.85,3.17,1528,9687.52,6.34,569,3083.98,5.42,387,2759.31,7.13,8589,34883.66,Q1,Monday,4.061434393,Product1,Low,Growth Year
597,2012-01-10,2012,Jan,1,7898,25036.66,3.17,1995,12648.3,6.34,4424,23978.08,5.42,1270,9055.1,7.13,15587,70718.14,Q1,Tuesday,4.536994932,Product1,High,Growth Year
598,2012-01-11,2012,Jan,1,7028,22278.76,3.17,2044,12958.96,6.34,1789,9696.38,5.42,1689,12042.57,7.13,12550,56976.67,Q1,Wednesday,4.539973705,Product1,Medium,Growth Year
599,2012-01-12,2012,Jan,1,7482,23717.94,3.17,1572,9966.48,6.34,1647,8926.74,5.42,1483,10573.79,7.13,12184,53184.95,Q1,Thursday,4.365146914,Product1,Medium,Growth Year
600,2012-01-13,2012,Jan,1,5751,18230.67,3.17,2376,15063.84,6.34,282,1528.44,5.42,1669,11899.97,7.13,10078,46722.92,Q1,Friday,4.636130185,Product1,Medium,Growth Year
601,2012-01-14,2012,Jan,1,4345,13773.65,3.17,534,3385.56,6.34,3409,18476.78,5.42,1738,12391.94,7.13,10026,48027.93,Q1,Saturday,4.790338121,Product3,Medium,Growth Year
602,2012-01-15,2012,Jan,1,3301,10464.17,3.17,2169,13751.46,6.34,1336,7241.12,5.42,1104,7871.52,7.13,7910,39328.27,Q1,Sunday,4.971968394,Product2,Low,Growth Year
603,2012-01-16,2012,Jan,1,2341,7420.97,3.17,3573,22652.82,6.34,2447,13262.74,5.42,1309,9333.17,7.13,9670,52669.7,Q1,Monday,5.446711479,Product2,Medium,Growth Year
604,2012-01-17,2012,Jan,1,3725,11808.25,3.17,1870,11855.8,6.34,1253,6791.26,5.42,645,4598.85,7.13,7493,35054.16,Q1,Tuesday,4.678254371,Product2,Low,Growth Year
605,2012-01-18,2012,Jan,1,3256,10321.52,3.17,2761,17504.74,6.34,1634,8856.28,5.42,1936,13803.68,7.13,9587,50486.22,Q1,Wednesday,5.266112444,Product2,Medium,Growth Year
606,2012-01-19,2012,Jan,1,7583,24038.11,3.17,1825,11570.5,6.34,1555,8428.1,5.42,637,4541.81,7.13,11600,48578.52,Q1,Thursday,4.187803448,Product1,Medium,Growth Year
607,2012-01-20,2012,Jan,1,7990,25328.3,3.17,376,2383.84,6.34,1367,7409.14,5.42,1526,10880.38,7.13,11259,46001.66,Q1,Friday,4.08576783,Product1,Medium,Growth Year
608,2012-01-21,2012,Jan,1,1930,6118.1,3.17,3066,19438.44,6.34,609,3300.78,5.42,1024,7301.12,7.13,6629,36158.44,Q1,Saturday,5.454584402,Product2,Low,Growth Year
609,2012-01-22,2012,Jan,1,3659,11599.03,3.17,496,3144.64,6.34,2667,14455.14,5.42,907,6466.91,7.13,7729,35665.72,Q1,Sunday,4.614532281,Product3,Low,Growth Year
610,2012-01-23,2012,Jan,1,759,2406.03,3.17,3005,19051.7,6.34,4562,24726.04,5.42,1796,12805.48,7.13,10122,58989.25,Q1,Monday,5.827825529,Product3,Medium,Growth Year
611,2012-01-24,2012,Jan,1,5918,18760.06,3.17,2006,12718.04,6.34,844,4574.48,5.42,1289,9190.57,7.13,10057,45243.15,Q1,Tuesday,4.498672566,Product1,Medium,Growth Year
612,2012-01-25,2012,Jan,1,5315,16848.55,3.17,3982,25245.88,6.34,3185,17262.7,5.42,934,6659.42,7.13,13416,66016.55,Q1,Wednesday,4.920732707,Product2,Medium,Growth Year
613,2012-01-26,2012,Jan,1,5413,17159.21,3.17,847,5369.98,6.34,5145,27885.9,5.42,1907,13596.91,7.13,13312,64012,Q1,Thursday,4.80859375,Product3,Medium,Growth Year
614,2012-01-27,2012,Jan,1,7335,23251.95,3.17,261,1654.74,6.34,4152,22503.84,5.42,627,4470.51,7.13,12375,51881.04,Q1,Friday,4.192407273,Product1,Medium,Growth Year
615,2012-01-28,2012,Jan,1,5146,16312.82,3.17,3705,23489.7,6.34,3047,16514.74,5.42,1045,7450.85,7.13,12943,63768.11,Q1,Saturday,4.926841536,Product2,Medium,Growth Year
616,2012-01-29,2012,Jan,1,5013,15891.21,3.17,3898,24713.32,6.34,1192,6460.64,5.42,1767,12598.71,7.13,11870,59663.88,Q1,Sunday,5.026443134,Product2,Medium,Growth Year
617,2012-01-30,2012,Jan,1,6471,20513.07,3.17,418,2650.12,6.34,3210,17398.2,5.42,1540,10980.2,7.13,11639,51541.59,Q1,Monday,4.428352092,Product1,Medium,Growth Year
618,2012-01-31,2012,Jan,1,3942,12496.14,3.17,1039,6587.26,6.34,530,2872.6,5.42,703,5012.39,7.13,6214,26968.39,Q1,Tuesday,4.339940457,Product1,Low,Growth Year
619,2012-02-01,2012,Feb,2,5065,16056.05,3.17,3279,20788.86,6.34,1159,6281.78,5.42,1033,7365.29,7.13,10536,50491.98,Q1,Wednesday,4.792329157,Product2,Medium,Growth Year
620,2012-02-02,2012,Feb,2,1013,3211.21,3.17,631,4000.54,6.34,3264,17690.88,5.42,1947,13882.11,7.13,6855,38784.74,Q1,Thursday,5.657876003,Product3,Low,Growth Year
621,2012-02-03,2012,Feb,2,1604,5084.68,3.17,1983,12572.22,6.34,5489,29750.38,5.42,633,4513.29,7.13,9709,51920.57,Q1,Friday,5.347674323,Product3,Medium,Growth Year
622,2012-02-04,2012,Feb,2,5641,17881.97,3.17,3932,24928.88,6.34,1947,10552.74,5.42,1787,12741.31,7.13,13307,66104.9,Q1,Saturday,4.967678665,Product2,Medium,Growth Year
623,2012-02-05,2012,Feb,2,5329,16892.93,3.17,3745,23743.3,6.34,3944,21376.48,5.42,1140,8128.2,7.13,14158,70140.91,Q1,Sunday,4.954153835,Product2,High,Growth Year
624,2012-02-06,2012,Feb,2,2786,8831.62,3.17,633,4013.22,6.34,4220,22872.4,5.42,388,2766.44,7.13,8027,38483.68,Q1,Monday,4.794279307,Product3,Low,Growth Year
625,2012-02-07,2012,Feb,2,4781,15155.77,3.17,3666,23242.44,6.34,3837,20796.54,5.42,1012,7215.56,7.13,13296,66410.31,Q1,Tuesday,4.994758574,Product2,Medium,Growth Year
626,2012-02-08,2012,Feb,2,3893,12340.81,3.17,1936,12274.24,6.34,3717,20146.14,5.42,416,2966.08,7.13,9962,47727.27,Q1,Wednesday,4.790932544,Product3,Medium,Growth Year
627,2012-02-09,2012,Feb,2,1686,5344.62,3.17,2278,14442.52,6.34,2249,12189.58,5.42,779,5554.27,7.13,6992,37530.99,Q1,Thursday,5.367704519,Product2,Low,Growth Year
628,2012-02-10,2012,Feb,2,4362,13827.54,3.17,2120,13440.8,6.34,5186,28108.12,5.42,1334,9511.42,7.13,13002,64887.88,Q1,Friday,4.990607599,Product3,Medium,Growth Year
629,2012-02-11,2012,Feb,2,4885,15485.45,3.17,1817,11519.78,6.34,1706,9246.52,5.42,1555,11087.15,7.13,9963,47338.9,Q1,Saturday,4.751470441,Product1,Medium,Growth Year
630,2012-02-12,2012,Feb,2,345,1093.65,3.17,3131,19850.54,6.34,2651,14368.42,5.42,972,6930.36,7.13,7099,42242.97,Q1,Sunday,5.95055219,Product2,Medium,Growth Year
631,2012-02-13,2012,Feb,2,2820,8939.4,3.17,3625,22982.5,6.34,2549,13815.58,5.42,1754,12506.02,7.13,10748,58243.5,Q1,Monday,5.419008188,Product2,Medium,Growth Year
632,2012-02-14,2012,Feb,2,6049,19175.33,3.17,3477,22044.18,6.34,5272,28574.24,5.42,347,2474.11,7.13,15145,72267.86,Q1,Tuesday,4.771730604,Product3,High,Growth Year
633,2012-02-15,2012,Feb,2,6985,22142.45,3.17,1214,7696.76,6.34,5688,30828.96,5.42,1457,10388.41,7.13,15344,71056.58,Q1,Wednesday,4.630903285,Product3,High,Growth Year
634,2012-02-16,2012,Feb,2,2272,7202.24,3.17,1243,7880.62,6.34,3982,21582.44,5.42,960,6844.8,7.13,8457,43510.1,Q1,Thursday,5.144862244,Product3,Medium,Growth Year
635,2012-02-17,2012,Feb,2,2917,9246.89,3.17,255,1616.7,6.34,1132,6135.44,5.42,1168,8327.84,7.13,5472,25326.87,Q1,Friday,4.628448465,Product1,Low,Growth Year
636,2012-02-18,2012,Feb,2,6943,22009.31,3.17,3549,22500.66,6.34,1332,7219.44,5.42,1676,11949.88,7.13,13500,63679.29,Q1,Saturday,4.716984444,Product2,Medium,Growth Year
637,2012-02-19,2012,Feb,2,4423,14020.91,3.17,875,5547.5,6.34,4463,24189.46,5.42,865,6167.45,7.13,10626,49925.32,Q1,Sunday,4.698411444,Product3,Medium,Growth Year
638,2012-02-20,2012,Feb,2,6282,19913.94,3.17,2035,12901.9,6.34,3455,18726.1,5.42,899,6409.87,7.13,12671,57951.81,Q1,Monday,4.57357825,Product1,Medium,Growth Year
639,2012-02-21,2012,Feb,2,7583,24038.11,3.17,1469,9313.46,6.34,2906,15750.52,5.42,1052,7500.76,7.13,13010,56602.85,Q1,Tuesday,4.350718678,Product1,Medium,Growth Year
640,2012-02-22,2012,Feb,2,3270,10365.9,3.17,3705,23489.7,6.34,3767,20417.14,5.42,347,2474.11,7.13,11089,56746.85,Q1,Wednesday,5.117400126,Product2,Medium,Growth Year
641,2012-02-23,2012,Feb,2,3683,11675.11,3.17,2282,14467.88,6.34,2008,10883.36,5.42,525,3743.25,7.13,8498,40769.6,Q1,Thursday,4.797552365,Product2,Medium,Growth Year
642,2012-02-24,2012,Feb,2,6552,20769.84,3.17,1457,9237.38,6.34,4075,22086.5,5.42,1534,10937.42,7.13,13618,63031.14,Q1,Friday,4.628516669,Product3,Medium,Growth Year
643,2012-02-25,2012,Feb,2,3332,10562.44,3.17,1890,11982.6,6.34,5676,30763.92,5.42,707,5040.91,7.13,11605,58349.87,Q1,Saturday,5.027993968,Product3,Medium,Growth Year
644,2012-02-26,2012,Feb,2,4038,12800.46,3.17,3603,22843.02,6.34,4442,24075.64,5.42,894,6374.22,7.13,12977,66093.34,Q1,Sunday,5.093113971,Product3,Medium,Growth Year
645,2012-02-27,2012,Feb,2,2024,6416.08,3.17,3068,19451.12,6.34,4981,26997.02,5.42,574,4092.62,7.13,10647,56956.84,Q1,Monday,5.349567014,Product3,Medium,Growth Year
646,2012-03-01,2012,Mar,3,2977,9437.09,3.17,776,4919.84,6.34,3731,20222.02,5.42,1669,11899.97,7.13,9153,46478.92,Q1,Thursday,5.07799847,Product3,Medium,Growth Year
647,2012-03-02,2012,Mar,3,3533,11199.61,3.17,1482,9395.88,6.34,2222,12043.24,5.42,1790,12762.7,7.13,9027,45401.43,Q1,Friday,5.029514789,Product4,Medium,Growth Year
648,2012-03-03,2012,Mar,3,5747,18217.99,3.17,1032,6542.88,6.34,2250,12195,5.42,573,4085.49,7.13,9602,41041.36,Q1,Saturday,4.274251198,Product1,Medium,Growth Year
649,2012-03-04,2012,Mar,3,2975,9430.75,3.17,1274,8077.16,6.34,464,2514.88,5.42,1975,14081.75,7.13,6688,34104.54,Q1,Sunday,5.099363038,Product4,Low,Growth Year
650,2012-03-05,2012,Mar,3,395,1252.15,3.17,3115,19749.1,6.34,5727,31040.34,5.42,265,1889.45,7.13,9502,53931.04,Q1,Monday,5.675756683,Product3,Medium,Growth Year
651,2012-03-06,2012,Mar,3,1594,5052.98,3.17,2990,18956.6,6.34,2279,12352.18,5.42,547,3900.11,7.13,7410,40261.87,Q1,Tuesday,5.433450742,Product2,Medium,Growth Year
652,2012-03-07,2012,Mar,3,3579,11345.43,3.17,1137,7208.58,6.34,4177,22639.34,5.42,1427,10174.51,7.13,10320,51367.86,Q1,Wednesday,4.977505814,Product3,Medium,Growth Year
653,2012-03-08,2012,Mar,3,3397,10768.49,3.17,3225,20446.5,6.34,5508,29853.36,5.42,664,4734.32,7.13,12794,65802.67,Q1,Thursday,5.14324449,Product3,Medium,Growth Year
654,2012-03-09,2012,Mar,3,5626,17834.42,3.17,2880,18259.2,6.34,3786,20520.12,5.42,1768,12605.84,7.13,14060,69219.58,Q1,Friday,4.923156472,Product3,Medium,Growth Year
655,2012-03-10,2012,Mar,3,792,2510.64,3.17,2742,17384.28,6.34,5158,27956.36,5.42,1505,10730.65,7.13,10197,58581.93,Q1,Saturday,5.745016181,Product3,Medium,Growth Year
656,2012-03-11,2012,Mar,3,2141,6786.97,3.17,464,2941.76,6.34,265,1436.3,5.42,870,6203.1,7.13,3740,17368.13,Q1,Sunday,4.643885027,Product1,Low,Growth Year
657,2012-03-12,2012,Mar,3,392,1242.64,3.17,2659,16858.06,6.34,5805,31463.1,5.42,1491,10630.83,7.13,10347,60194.63,Q1,Monday,5.817592539,Product3,Medium,Growth Year
658,2012-03-13,2012,Mar,3,3363,10660.71,3.17,729,4621.86,6.34,4498,24379.16,5.42,1166,8313.58,7.13,9756,47975.31,Q1,Tuesday,4.91751845,Product3,Medium,Growth Year
659,2012-03-14,2012,Mar,3,2636,8356.12,3.17,3032,19222.88,6.34,1502,8140.84,5.42,1141,8135.33,7.13,8311,43855.17,Q1,Wednesday,5.276762122,Product2,Medium,Growth Year
660,2012-03-15,2012,Mar,3,2861,9069.37,3.17,2512,15926.08,6.34,429,2325.18,5.42,320,2281.6,7.13,6122,29602.23,Q1,Thursday,4.835385495,Product2,Low,Growth Year
661,2012-03-16,2012,Mar,3,3939,12486.63,3.17,748,4742.32,6.34,1100,5962,5.42,728,5190.64,7.13,6515,28381.59,Q1,Friday,4.356345357,Product1,Low,Growth Year
662,2012-03-17,2012,Mar,3,3863,12245.71,3.17,1259,7982.06,6.34,5300,28726,5.42,960,6844.8,7.13,11382,55798.57,Q1,Saturday,4.902351959,Product3,Medium,Growth Year
663,2012-03-18,2012,Mar,3,3565,11301.05,3.17,3746,23749.64,6.34,4954,26850.68,5.42,2000,14260,7.13,14265,76161.37,Q1,Sunday,5.339037504,Product3,High,Growth Year
664,2012-03-19,2012,Mar,3,5964,18905.88,3.17,305,1933.7,6.34,1441,7810.22,5.42,1729,12327.77,7.13,9439,40977.57,Q1,Monday,4.341304164,Product1,Medium,Growth Year
665,2012-03-20,2012,Mar,3,394,1248.98,3.17,2889,18316.26,6.34,784,4249.28,5.42,1639,11686.07,7.13,5706,35500.59,Q1,Tuesday,6.221624606,Product2,Low,Growth Year
666,2012-03-21,2012,Mar,3,1321,4187.57,3.17,3008,19070.72,6.34,2360,12791.2,5.42,1418,10110.34,7.13,8107,46159.83,Q1,Wednesday,5.693823856,Product2,Medium,Growth Year
667,2012-03-22,2012,Mar,3,4471,14173.07,3.17,612,3880.08,6.34,5155,27940.1,5.42,1260,8983.8,7.13,11498,54977.05,Q1,Thursday,4.781444599,Product3,Medium,Growth Year
668,2012-03-23,2012,Mar,3,5930,18798.1,3.17,3602,22836.68,6.34,3659,19831.78,5.42,1548,11037.24,7.13,14739,72503.8,Q1,Friday,4.919180406,Product2,High,Growth Year
669,2012-03-24,2012,Mar,3,1830,5801.1,3.17,3371,21372.14,6.34,652,3533.84,5.42,1265,9019.45,7.13,7118,39726.53,Q1,Saturday,5.581136555,Product2,Low,Growth Year
670,2012-03-25,2012,Mar,3,6674,21156.58,3.17,2420,15342.8,6.34,872,4726.24,5.42,766,5461.58,7.13,10732,46687.2,Q1,Sunday,4.350279538,Product1,Medium,Growth Year
671,2012-03-26,2012,Mar,3,4214,13358.38,3.17,3501,22196.34,6.34,3964,21484.88,5.42,1145,8163.85,7.13,12824,65203.45,Q1,Monday,5.08448612,Product2,Medium,Growth Year
672,2012-03-27,2012,Mar,3,431,1366.27,3.17,1943,12318.62,6.34,5869,31809.98,5.42,1915,13653.95,7.13,10158,59148.82,Q1,Tuesday,5.822880488,Product3,Medium,Growth Year
673,2012-03-28,2012,Mar,3,2337,7408.29,3.17,982,6225.88,6.34,1970,10677.4,5.42,964,6873.32,7.13,6253,31184.89,Q1,Wednesday,4.987188549,Product3,Low,Growth Year
674,2012-03-29,2012,Mar,3,4712,14937.04,3.17,3810,24155.4,6.34,4462,24184.04,5.42,877,6253.01,7.13,13861,69529.49,Q1,Thursday,5.016195801,Product3,Medium,Growth Year
675,2012-03-30,2012,Mar,3,2055,6514.35,3.17,3870,24535.8,6.34,5968,32346.56,5.42,251,1789.63,7.13,12144,65186.34,Q1,Friday,5.367781621,Product3,Medium,Growth Year
676,2012-03-31,2012,Mar,3,5314,16845.38,3.17,1435,9097.9,6.34,3269,17717.98,5.42,1220,8698.6,7.13,11238,52359.86,Q1,Saturday,4.659179569,Product3,Medium,Growth Year
677,2012-04-01,2012,Apr,4,1434,4545.78,3.17,1002,6352.68,6.34,5702,30904.84,5.42,439,3130.07,7.13,8577,44933.37,Q2,Sunday,5.238821266,Product3,Medium,Growth Year
678,2012-04-02,2012,Apr,4,6486,20560.62,3.17,829,5255.86,6.34,4413,23918.46,5.42,1196,8527.48,7.13,12924,58262.42,Q2,Monday,4.508079542,Product3,Medium,Growth Year
679,2012-04-03,2012,Apr,4,4554,14436.18,3.17,2235,14169.9,6.34,5375,29132.5,5.42,1660,11835.8,7.13,13824,69574.38,Q2,Tuesday,5.032868924,Product3,Medium,Growth Year
680,2012-04-04,2012,Apr,4,7170,22728.9,3.17,796,5046.64,6.34,3843,20829.06,5.42,1109,7907.17,7.13,12918,56511.77,Q2,Wednesday,4.374653197,Product1,Medium,Growth Year
681,2012-04-05,2012,Apr,4,5183,16430.11,3.17,2233,14157.22,6.34,2631,14260.02,5.42,376,2680.88,7.13,10423,47528.23,Q2,Thursday,4.559937638,Product1,Medium,Growth Year
682,2012-04-06,2012,Apr,4,5010,15881.7,3.17,917,5813.78,6.34,4451,24124.42,5.42,1713,12213.69,7.13,12091,58033.59,Q2,Friday,4.799734513,Product3,Medium,Growth Year
683,2012-04-07,2012,Apr,4,6583,20868.11,3.17,2757,17479.38,6.34,1199,6498.58,5.42,1801,12841.13,7.13,12340,57687.2,Q2,Saturday,4.674813614,Product1,Medium,Growth Year
684,2012-04-08,2012,Apr,4,6574,20839.58,3.17,1103,6993.02,6.34,4475,24254.5,5.42,1465,10445.45,7.13,13617,62532.55,Q2,Sunday,4.592241316,Product3,Medium,Growth Year
685,2012-04-09,2012,Apr,4,7514,23819.38,3.17,1288,8165.92,6.34,1313,7116.46,5.42,288,2053.44,7.13,10403,41155.2,Q2,Monday,3.95608959,Product1,Medium,Growth Year
686,2012-04-10,2012,Apr,4,5208,16509.36,3.17,2196,13922.64,6.34,4442,24075.64,5.42,1505,10730.65,7.13,13351,65238.29,Q2,Tuesday,4.886397274,Product3,Medium,Growth Year
687,2012-04-11,2012,Apr,4,981,3109.77,3.17,3014,19108.76,6.34,575,3116.5,5.42,1358,9682.54,7.13,5928,35017.57,Q2,Wednesday,5.907147436,Product2,Low,Growth Year
688,2012-04-12,2012,Apr,4,1307,4143.19,3.17,1364,8647.76,6.34,3149,17067.58,5.42,1261,8990.93,7.13,7081,38849.46,Q2,Thursday,5.486436944,Product3,Low,Growth Year
689,2012-04-13,2012,Apr,4,5955,18877.35,3.17,1328,8419.52,6.34,1169,6335.98,5.42,1109,7907.17,7.13,9561,41540.02,Q2,Friday,4.344735906,Product1,Medium,Growth Year
690,2012-04-14,2012,Apr,4,5024,15926.08,3.17,3803,24111.02,6.34,409,2216.78,5.42,851,6067.63,7.13,10087,48321.51,Q2,Saturday,4.790473877,Product2,Medium,Growth Year
691,2012-04-15,2012,Apr,4,1966,6232.22,3.17,1469,9313.46,6.34,5632,30525.44,5.42,1152,8213.76,7.13,10219,54284.88,Q2,Sunday,5.312151874,Product3,Medium,Growth Year
692,2012-04-16,2012,Apr,4,7538,23895.46,3.17,2518,15964.12,6.34,2017,10932.14,5.42,1175,8377.75,7.13,13248,59169.47,Q2,Monday,4.466294535,Product1,Medium,Growth Year
693,2012-04-17,2012,Apr,4,7189,22789.13,3.17,1385,8780.9,6.34,3309,17934.78,5.42,320,2281.6,7.13,12203,51786.41,Q2,Tuesday,4.243744161,Product1,Medium,Growth Year
694,2012-04-18,2012,Apr,4,6854,21727.18,3.17,1159,7348.06,6.34,5474,29669.08,5.42,532,3793.16,7.13,14019,62537.48,Q2,Wednesday,4.460908767,Product3,Medium,Growth Year
695,2012-04-19,2012,Apr,4,7421,23524.57,3.17,2459,15590.06,6.34,5607,30389.94,5.42,1045,7450.85,7.13,16532,76955.42,Q2,Thursday,4.654937092,Product3,High,Growth Year
696,2012-04-20,2012,Apr,4,2008,6365.36,3.17,3492,22139.28,6.34,4775,25880.5,5.42,1318,9397.34,7.13,11593,63782.48,Q2,Friday,5.501809713,Product3,Medium,Growth Year
697,2012-04-21,2012,Apr,4,3914,12407.38,3.17,2615,16579.1,6.34,5922,32097.24,5.42,737,5254.81,7.13,13188,66338.53,Q2,Saturday,5.030219139,Product3,Medium,Growth Year
698,2012-04-22,2012,Apr,4,1339,4244.63,3.17,1947,12343.98,6.34,3441,18650.22,5.42,426,3037.38,7.13,7153,38276.21,Q2,Sunday,5.351070879,Product3,Low,Growth Year
699,2012-04-23,2012,Apr,4,2978,9440.26,3.17,1909,12103.06,6.34,4227,22910.34,5.42,541,3857.33,7.13,9655,48310.99,Q2,Monday,5.003727602,Product3,Medium,Growth Year
700,2012-04-24,2012,Apr,4,3678,11659.26,3.17,2961,18772.74,6.34,2331,12634.02,5.42,900,6417,7.13,9870,49483.02,Q2,Tuesday,5.013477204,Product2,Medium,Growth Year
701,2012-04-25,2012,Apr,4,6854,21727.18,3.17,3455,21904.7,6.34,5228,28335.76,5.42,536,3821.68,7.13,16073,75789.32,Q2,Wednesday,4.715318858,Product3,High,Growth Year
702,2012-04-26,2012,Apr,4,4897,15523.49,3.17,3087,19571.58,6.34,1736,9409.12,5.42,455,3244.15,7.13,10175,47748.34,Q2,Thursday,4.692711548,Product2,Medium,Growth Year
703,2012-04-27,2012,Apr,4,6596,20909.32,3.17,793,5027.62,6.34,5048,27360.16,5.42,661,4712.93,7.13,13098,58010.03,Q2,Friday,4.428922736,Product3,Medium,Growth Year
704,2012-04-28,2012,Apr,4,699,2215.83,3.17,1322,8381.48,6.34,3173,17197.66,5.42,1783,12712.79,7.13,6977,40507.76,Q2,Saturday,5.805899384,Product3,Medium,Growth Year
705,2012-04-29,2012,Apr,4,5429,17209.93,3.17,1076,6821.84,6.34,2683,14541.86,5.42,1737,12384.81,7.13,10925,50958.44,Q2,Sunday,4.664388101,Product1,Medium,Growth Year
706,2012-04-30,2012,Apr,4,5322,16870.74,3.17,2324,14734.16,6.34,1362,7382.04,5.42,1268,9040.84,7.13,10276,48027.78,Q2,Monday,4.673781627,Product1,Medium,Growth Year
707,2012-05-01,2012,May,5,3994,12660.98,3.17,2319,14702.46,6.34,2623,14216.66,5.42,1189,8477.57,7.13,10125,50057.67,Q2,Tuesday,4.943967407,Product2,Medium,Growth Year
